StudentId,Batch,Name,Email,Status,College,DSA,WEBD,REACT,CompanyName,InterviewDate,Result
64775c0e9bf9856909ac3f09,MAY'23,Vikash,Vikash@gmail.com,placed,sns,22,34,50,cts,Jun 01 2023,PASS
64775c0e9bf9856909ac3f09,MAY'23,Vikash,Vikash@gmail.com,placed,sns,22,34,50,TCS,Jun 02 2023,On Hold
64775c0e9bf9856909ac3f09,MAY'23,Vikash,Vikash@gmail.com,placed,sns,22,34,50,facebook,Jun 15 2023,On Hold
64775c0e9bf9856909ac3f09,MAY'23,Vikash,Vikash@gmail.com,placed,sns,22,34,50,test,Jun 13 2023,On Hold
64775c0e9bf9856909ac3f09,MAY'23,Vikash,Vikash@gmail.com,placed,sns,22,34,50,Samsung,Jun 02 2023,On Hold
64775c0e9bf9856909ac3f09,MAY'23,Vikash,Vikash@gmail.com,placed,sns,22,34,50,xyz,Aug 03 2023,On Hold
64775c0e9bf9856909ac3f09,MAY'23,Vikash,Vikash@gmail.com,placed,sns,22,34,50,techmahindra,Aug 14 2023,FAIL
64775c0e9bf9856909ac3f09,MAY'23,Vikash,Vikash@gmail.com,placed,sns,22,34,50,meta,Aug 15 2023,PASS
64775c0e9bf9856909ac3f09,MAY'23,Vikash,Vikash@gmail.com,placed,sns,22,34,50,google,Jun 27 2023,PASS
64775c0e9bf9856909ac3f09,MAY'23,Vikash,Vikash@gmail.com,placed,sns,22,34,50,webkul,Aug 15 2023,PASS
6477634b55b1e2eb17ca4abf,Jun2023,Hari,Hari@gmail.com,placed,IIT,45,76,67,amazon,Jun 01 2023,PASS
6477634b55b1e2eb17ca4abf,Jun2023,Hari,Hari@gmail.com,placed,IIT,45,76,67,google,Jun 27 2023,On Hold
6477634b55b1e2eb17ca4abf,Jun2023,Hari,Hari@gmail.com,placed,IIT,45,76,67,express,Jul 10 2023,On Hold
6477634b55b1e2eb17ca4abf,Jun2023,Hari,Hari@gmail.com,placed,IIT,45,76,67,TCS,Jun 02 2023,On Hold
6477634b55b1e2eb17ca4abf,Jun2023,Hari,Hari@gmail.com,placed,IIT,45,76,67,w,Jul 12 2023,On Hold
6477634b55b1e2eb17ca4abf,Jun2023,Hari,Hari@gmail.com,placed,IIT,45,76,67,siemens,Jul 29 2023,On Hold
6477634b55b1e2eb17ca4abf,Jun2023,Hari,Hari@gmail.com,placed,IIT,45,76,67,tcs,Jul 25 2023,On Hold
6477634b55b1e2eb17ca4abf,Jun2023,Hari,Hari@gmail.com,placed,IIT,45,76,67,hari,Dec 31 2023,On Hold
6477634b55b1e2eb17ca4abf,Jun2023,Hari,Hari@gmail.com,placed,IIT,45,76,67,gfjfcgjkfhjk,Aug 25 2023,On Hold
647889679353b58623059893,Jan,Rohit,Rohit@gmail.com,placed,LNCT,78,80,79,Amazon,Mar 29 2023,PASS
647889679353b58623059893,Jan,Rohit,Rohit@gmail.com,placed,LNCT,78,80,79,Wipro,Jul 23 2023,On Hold
647889679353b58623059893,Jan,Rohit,Rohit@gmail.com,placed,LNCT,78,80,79,google,Jun 27 2023,On Hold
647889679353b58623059893,Jan,Rohit,Rohit@gmail.com,placed,LNCT,78,80,79,xyz,Aug 03 2023,On Hold
64799427714cbf1bfa2c41ba,June '23,Hariom,hariom@gmail.com,placed,MIT,99,78,90,Swiggy,Jun 03 2023,PASS
648f644e3903e7aca2a636e8,placed,placed,t1@gmail.com,placed,t1@gmail.com,1,2,3,test,Jun 13 2023,On Hold
648f644e3903e7aca2a636e8,placed,placed,t1@gmail.com,placed,t1@gmail.com,1,2,3,Siemen,Jul 01 2023,On Hold
64b51e3098a644147b21199b,oct,caption1,caption1@gmail.com,placed,RR,90,78,78,auto,Jul 26 2023,On Hold
64b51e3098a644147b21199b,oct,caption1,caption1@gmail.com,placed,RR,90,78,78,Google,Jul 30 2023,On Hold
64d4ce53b2c3b9a059cff9e2,SDGSD,DSFGSADG,sahani.amit297@gmail.com,placed,DGASDH,45,56,24,yahoo,Aug 11 2023,PASS
64d4d19eb2c3b9a059cffa32,SDGSDH,WFWQ,WQW@HK.CO,placed,WQWR,67,76,99,google,Jun 27 2023,On Hold
64d4d19eb2c3b9a059cffa32,SDGSDH,WFWQ,WQW@HK.CO,placed,WQWR,67,76,99,amit297,Aug 11 2023,PASS
64d4d19eb2c3b9a059cffa32,SDGSDH,WFWQ,WQW@HK.CO,placed,WQWR,67,76,99,techmahindra,Aug 14 2023,PASS
64d9f6bba6e9e08e434bfe59,25 OCT,sangam yadav,sangam123@gmail.com,placed,KNIT,20,10,10,Tech mahindra,Aug 18 2023,PASS
64dc90dc45bc5ef13afd47c4,2017-2019,Richa kushwah ,Sangamyadav9000@gmail.com,placed,"GLA UNIVERSITY,MATHURA",90,99,100,Google ,Aug 18 2023,PASS
